City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max_Temp,Wind_Speed
Ploudalmezeau,90,FR,1514086200,93,48.53,-4.65,48.2,8.05
Jonkoping,12,SE,1514085600,100,57.78,14.16,33.8,4.7
Saint-Jean-du-Corail-des-Bois,90,FR,1514086200,93,48.77,-1.2,48.2,5.82
Vila Nova,0,BR,1514084400,83,-20.09,-40.52,78.8,9.17
Süderbrarup,92,DE,1514085600,100,54.64,9.78,48.2,26.4
Siqian,0,CN,1514087049,58,27.67,119.78,57.64,5.53
Laojinchang,44,CN,1514087049,73,42.91,127.35,19.48,3.06
Georgenthal,75,DE,1514082000,87,50.83,10.66,44.6,19.46
Samanggen,0,ID,1514087051,76,-7.17,107.98,76.76,2.8
Marigny-les-Usages,90,FR,1514086200,93,47.96,2.01,46.4,5.82
Obshtina Khitrino,0,BG,1514087052,79,43.43,26.92,13.94,5.3
Lübzin,75,DE,1514085600,87,53.75,11.93,48.2,26.4
Chanos-Curson,90,FR,1514086200,86,45.06,4.92,39.2,5.82
Sonob,0,PH,1514087053,97,8.33,123.16,83.38,3.74
Starozreby,92,PL,1514087054,94,52.63,19.99,44.77,27.67
Gaobazhou,0,CN,1514087054,78,30.44,111.42,48.37,2.91
Kangle,75,TW,1514084400,53,22.75,121.11,77.0,2.24
Junciana,0,ES,1514087055,79,40.41,-5.56,23.98,1.5
Gemeente Houten,90,NL,1514085900,93,52.03,5.17,50.0,18.34
Strehla,75,DE,1514085600,75,51.35,13.22,48.2,19.46
Visan,0,FR,1514086200,75,44.31,4.95,42.8,8.05
Santa Eulália,0,PT,1514086200,70,41.36,-8.3,48.2,10.29
Tettenhausen,75,DE,1514085600,89,47.96,12.76,32.0,2.24
Rathowen,92,IE,1514087057,95,53.66,-7.52,51.56,21.41
Tarentum,90,US,1514085840,86,40.6,-79.76,33.8,8.05
Bouloupari,90,NC,1514086200,42,-21.87,166.05,86.0,18.34
Vilaller,0,ES,1514087059,79,42.48,0.72,14.8,2.01
France,0,CI,1514086200,94,5.2,-3.74,71.6,3.36
Plagne,90,FR,1514086200,86,46.19,5.73,41.0,5.82
Caccivio Colombaro,0,IT,1514085600,92,45.77,9.0,35.6,1.12
Palakkodu,0,IN,1514087061,90,12.3,78.08,63.44,3.85
Krusevo,88,RS,1514087061,86,43.06,20.44,32.93,5.26
Cobalt,90,CA,1514086680,78,47.4,-79.69,12.2,13.87
Maggiolo,0,AR,1514087062,72,-33.72,-62.25,59.26,5.82
Bluewell,90,US,1514085480,100,37.31,-81.26,46.4,6.93
Wierenkamp,75,DE,1514085600,93,53.88,9.97,46.4,14.99
Nébouzat,75,FR,1514086200,86,45.72,2.91,37.4,2.24
Jennings,90,US,1514084160,84,38.72,-90.26,32.0,6.93
Dingqiao,0,CN,1514087064,53,30.75,117.9,45.44,12.19
Opština Sremski Karlovci,75,RS,1514086200,81,45.2,19.92,42.8,10.29
Buryn,88,UA,1514087066,90,51.2,33.83,26.77,22.37
Göthewitz,20,DE,1514085600,87,51.19,12.12,46.4,20.8
Römerswil,90,CH,1514085600,100,47.17,8.24,37.4,5.82
Villa Azueta,36,MX,1514087067,72,18.07,-95.7,73.93,13.35
Neung-sur-Beuvron,90,FR,1514086200,100,47.53,1.81,46.4,2.24
Saint-Quentin-sur-Sauxillanges,75,FR,1514086200,86,45.55,3.39,41.0,2.24
Swifts Creek,92,AU,1514087068,70,-37.26,147.72,65.38,3.02
Sargé-lès-le-Mans,90,FR,1514086200,93,48.03,0.24,46.4,2.24
Gostići,75,BA,1514086200,93,44.53,18.42,37.4,1.12
Olszanica,92,PL,1514087069,92,53.68,18.84,45.71,27.78
Tsvkvara,92,GE,1514087070,100,43.1,40.76,34.69,2.01
Torregrotta,20,IT,1514084100,66,38.19,15.35,55.4,6.93
Faßberg,92,DE,1514085600,87,52.9,10.17,48.2,17.22
Sangano,0,IT,1514085600,69,45.03,7.45,33.8,4.7
Borgsdorf,75,DE,1514085600,81,52.71,13.28,50.0,21.92
Tangpu,0,CN,1514084400,35,29.86,120.78,57.2,15.66
Yavlenka,75,KZ,1514084400,92,54.35,68.47,14.0,8.95
Maidieres,90,FR,1514086200,93,48.9,6.04,44.6,11.41
Bernissart,90,BE,1514086200,87,50.48,3.65,50.0,16.11
Halstead,90,GB,1514085600,93,51.94,0.64,46.4,13.87
Acquigny,90,FR,1514086200,100,49.17,1.18,46.4,6.93
Brehme,92,DE,1514087075,97,51.49,10.36,42.43,15.1
Canal de Berdún,0,ES,1514084400,74,42.61,-0.86,35.6,3.36
Luoshi,0,CN,1514087076,49,27.99,115.83,53.95,16.44
Körne,92,DE,1514085600,81,51.51,7.5,48.2,18.34
Ironbank,75,AU,1514084400,33,-35.04,138.69,73.4,17.22
Kafr Takharim,75,SY,1514083800,93,36.12,36.52,53.6,8.05
Hol,0,NO,1514087078,67,60.62,8.3,27.53,8.66
Kerch,80,UA,1514087078,100,45.35,36.45,37.57,12.97
Lorup,92,DE,1514085600,93,52.93,7.65,46.4,14.99
Chapala,20,MX,1514083320,55,20.29,-103.19,60.8,2.35
Montagna in Valtellina,0,IT,1514085600,84,46.18,9.9,35.6,2.24
Fay-aux-Loges,90,FR,1514086200,93,47.93,2.14,46.4,5.82
Duncannon,75,US,1514085420,65,40.39,-77.03,44.6,13.87
Kadrovik,0,RU,1514084400,91,55.11,61.66,3.2,4.47
Legnago,40,IT,1514085600,100,45.19,11.31,28.4,3.36
Paranavai,75,BR,1514084400,94,-23.07,-52.47,71.6,9.17
Czemierniki,92,PL,1514087082,92,51.67,22.64,43.24,28.41
South Ribble,100,GB,1514085600,87,53.72,-2.73,51.8,14.99
Hotchkiss,1,US,1514084100,50,38.8,-107.72,30.2,4.7
Mulhouse,75,FR,1514086200,86,47.75,7.34,41.0,4.7
Linquan,0,CN,1514087084,42,33.07,115.26,46.16,17.22
Santana de Parnaiba,0,BR,1514084400,69,-23.44,-46.92,73.4,6.93
El Crucero de Santa Maria,20,MX,1514083320,55,20.38,-103.86,60.8,2.24
Leland Grove,1,US,1514085300,68,39.78,-89.68,28.4,8.05
Forstwolfersdorf,56,DE,1514087086,92,50.74,11.97,41.62,18.05
Cardigan,92,GB,1514083800,100,52.08,-4.66,50.0,10.29
Guiricema,68,BR,1514087087,71,-21.01,-42.72,73.21,2.91
Alberta,90,US,1514085360,57,45.57,-96.05,21.2,9.17
Maruim,75,BR,1514084400,83,-10.74,-37.08,77.0,10.29
Loop,1,US,1514085300,26,32.92,-102.42,48.2,9.17
Unterzell,75,AT,1514085600,81,47.97,14.77,42.8,19.46
Heavitree,88,GB,1514083800,93,50.72,-3.5,48.2,6.93
Glendean,92,ZA,1514087090,98,-29.23,30.22,58.49,2.57
Pueyo de Santa Cruz,90,ES,1514084400,100,41.86,0.16,30.2,2.8
Srednekolymsk,64,RU,1514087091,75,67.46,153.71,-11.76,8.1
San Martín de Oscos,0,ES,1514087091,80,43.28,-6.94,29.2,2.01
Rozdo,90,UA,1514084400,93,49.46,24.06,41.0,15.66
Valha-me Deus,20,BR,1514087092,75,-9.35,-38.22,75.19,12.3
Charleston,90,US,1514084040,93,38.35,-81.63,35.6,6.93
